card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-20_Trade_2,2026-05-20,"Trade 2 — Pivot (regime-aware), TREND-DOWN variant",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-20_Trade_3C,2026-05-20,Trade 3 — Momentum-Breakout (3C variant). Regime fork: TREND_DOWN → 3C selected over 3A (pullback) and 3B (mean-reversion) per §3 fork rules.,Trade 3C,SHORT,usopen,FILLED,STOP touched,2026-05-21 16:30:00,4496.0,44.5,1.0,3,-1.0,-1.0
2026-05-21_Trade_1,2026-05-21,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-22 16:30:00,4522.08,73.26,0.692,3,1.813,0.945
2026-05-21_Trade_2,2026-05-21,"Trade 2 — Pivot (regime-aware, TREND_DOWN branch)",Trade 2,SHORT,usopen,FILLED,STOP touched,2026-05-22 17:00:00,4500.04,27.24,1.0,3,-1.0,-1.0
2026-05-21_Trade_3A,2026-05-21,Trade 3 — Momentum-Pullback (variant 3A; TREND_DOWN),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-22_Trade_1,2026-05-22,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-05-25 16:30:00,4561.79,2.29,0.054,1,0.0,0.0
2026-05-22_Trade_2,2026-05-22,Trade 2 — Pivot (TRANSITION regime — breakout side only),Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-22_Trade_3C,2026-05-22,Trade 3 — Momentum-Breakout (variant 3C),Trade 3C,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-08 16:30:00,4331.33,352.67,1.399,3,-0.41,-0.175
2026-05-25_Trade_1,2026-05-25,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-26 16:30:00,4522.4,66.6,0.843,3,0.198,0.01
2026-05-25_Trade_2,2026-05-25,Trade 2 — Pivot (TRANSITION regime),Trade 2,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-25_Trade_3C,2026-05-25,Trade 3C — Momentum-Breakout,Trade 3C,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-26_Trade_1,2026-05-26,Trade 1 - Daily Directional (LONG),Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-05-27 16:30:00,4404.86,76.48,0.94,1,0.0,0.0
2026-05-26_Trade_2,2026-05-26,"Trade 2 - Pivot, regime-aware (TRANSITION -> breakout side, LONG)",Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-26_Trade_3C,2026-05-26,Trade 3C - Momentum-Breakout (TRANSITION),Trade 3C,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-27_Trade_1,2026-05-27,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-28 16:30:00,4428.51,168.49,1.57,3,0.262,0.981
2026-05-27_Trade_2,2026-05-27,"Trade 2 — Pivot, trend-following short across the daily pivot.",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-27_Trade_3A,2026-05-27,Trade 3 → variant 3A — Momentum-Pullback short (regime fork to 3A on a TREND_DOWN label).,Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_1,2026-05-28,"Daily directional short, entered at session anchor",Trade 1,SHORT,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-05-29 16:30:00,4528.03,18.03,0.258,1,0.0,0.0
2026-05-28_Trade_2,2026-05-28,Regime-aware pivot trade. Active regime: TRANSITIONAL → breakout-side bias. Broken side = SHORT.,Trade 2,SHORT,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-05-29 16:30:00,4528.03,16.97,0.32,3,-1.0,-1.0
2026-05-28_Trade_3C,2026-05-28,Trade 3C — regime-driven transition breakout. Regime TRANSITIONAL with bearish lean → broken-side direction = SHORT.,Trade 3C,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-08 16:30:00,4331.33,148.67,2.563,3,0.05,1.692
2026-05-29_Trade_1,2026-05-29,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-01 16:30:00,4465.36,76.44,0.556,3,2.248,0.804
2026-05-29_Trade_2,2026-05-29,"Trade 2 - Pivot, regime-aware (TREND_DOWN breakout, SHORT)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_3A,2026-05-29,"Trade 3A - Momentum-Pullback (TREND_DOWN, SHORT)",Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-01_Trade_1,2026-06-01,Trade 1 — Directional (tactical long),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-02 16:30:00,4510.9,24.9,0.47,3,-1.0,-1.0
2026-06-01_Trade_2,2026-06-01,Trade 2 — Regime-aware pivot,Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-06-02 16:45:00,4505.0,45.0,1.0,3,-1.0,-1.0
2026-06-01_Trade_3B,2026-06-01,Trade 3 — Regime-driven complex (fork 3B: range/breakout),Trade 3B,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-02_Trade_1,2026-06-02,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-03 16:30:00,4448.56,99.44,1.657,3,0.386,1.297
2026-06-02_Trade_2,2026-06-02,"Trade 2 - Pivot, regime-aware (SHORT-from-resistance)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-02_Trade_3B,2026-06-02,Trade 3 - Regime-driven complex → fork 3B (Mean-Reversion),Trade 3B,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-03 16:30:00,4448.56,151.44,3.029,3,0.347,3.08
2026-06-03_Trade_1,2026-06-03,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-04 16:30:00,4504.74,54.36,0.934,3,1.297,1.146
2026-06-03_Trade_2,2026-06-03,Trade 2 - Pivot (TRANSITION),Trade 2,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-03_Trade_3C,2026-06-03,Trade 3C - Momentum-Breakout,Trade 3C,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-04_Trade_1,2026-06-04,Trade 1 — Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-05 16:30:00,4404.8,127.31,1.383,3,0.74,1.407
2026-06-04_Trade_2,2026-06-04,"Trade 2 — Pivot (TREND_DOWN breakout, SHORT)",Trade 2,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-05 16:30:00,4404.8,96.34,2.803,3,0.171,2.281
2026-06-04_Trade_3A,2026-06-04,"Trade 3A — Momentum-Pullback (TREND_DOWN, SHORT)",Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-05_Trade_1,2026-06-05,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-05_Trade_2,2026-06-05,"Trade 2 - Pivot, regime-aware (RANGE - mean-reversion fade)",Trade 2,LONG,usopen,SKIPPED_MICRO_R,LIMIT already marketable at 16:30 - filled at open,2026-06-08 16:30:00,4331.33,10.02,0.119,1,0.0,0.0
2026-06-05_Trade_3B,2026-06-05,Trade 3 - Mean-Reversion (variant 3B; regime = RANGE),Trade 3B,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-06-08 16:30:00,4331.33,75.82,1.632,1,0.0,0.0
2026-06-08_Trade_1,2026-06-08,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-06-08_Trade_2,2026-06-08,"Trade 2 - Pivot, regime-aware (SHORT / trend)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-08_Trade_3C,2026-06-08,Trade 3C - Momentum-Breakout (SHORT),Trade 3C,SHORT,usopen,FILLED,STOP touched,2026-06-09 17:15:00,4309.0,63.0,1.0,3,2.085,2.085
2026-06-09_Trade_1,2026-06-09,Trade 1 - Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-10 16:30:00,4150.16,253.84,2.789,3,-0.004,1.779
2026-06-09_Trade_2,2026-06-09,"Trade 2 - Pivot (TREND_DOWN, breakout-follow)",Trade 2,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-10 16:30:00,4150.16,210.84,4.486,3,-0.409,1.652
2026-06-09_Trade_3A,2026-06-09,Trade 3A - Momentum-Pullback (TREND_DOWN),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-10_Trade_1,2026-06-10,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-11 16:30:00,4075.46,292.54,3.751,3,-0.156,2.167
2026-06-10_Trade_2,2026-06-10,Trade 2 - Pivot (TREND_DOWN),Trade 2,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-10_Trade_3A,2026-06-10,Trade 3A - Momentum-Pullback (SHORT),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-11_Trade_1,2026-06-11,Trade 1 - Daily Directional,Trade 1,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-11_Trade_2,2026-06-11,Trade 2 - Pivot (regime-aware breakout-side),Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-11_Trade_3A,2026-06-11,Trade 3A - Momentum-Pullback (TREND_DOWN fork),Trade 3A,SHORT,usopen,SKIPPED_MICRO_R,LIMIT already marketable at 16:30 - filled at open,2026-06-12 16:30:00,4203.01,4.99,0.091,1,0.0,0.0
2026-06-15_Trade_1,2026-06-15,Trade 1 — Daily Directional (SHORT — TREND_DOWN regime),Trade 1,SHORT,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-06-16 16:30:00,4335.2,76.95,0.941,1,0.0,0.0
2026-06-15_Trade_2,2026-06-15,"Trade 2 — Pivot, regime-aware (SHORT — TREND_DOWN pivot breakdown)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-15_Trade_3A,2026-06-15,Trade 3 — Momentum-Pullback 3A (SHORT — TREND_DOWN),Trade 3A,SHORT,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-06-16 16:30:00,4335.2,55.98,0.325,3,3.005,0.302
2026-06-16_Trade_1,2026-06-16,Trade 1 - Daily Directional (LONG),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-17 16:30:00,4335.59,189.02,1.127,3,-0.804,-0.779
2026-06-16_Trade_2,2026-06-16,"Trade 2 - Pivot, TRANSITION breakout-side (LONG, indicative)",Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-17 16:30:00,4335.59,151.29,4.75,3,-0.426,1.728
2026-06-16_Trade_3C,2026-06-16,Trade 3C - Momentum-Breakout (TRANSITION),Trade 3C,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-17_Trade_1,2026-06-17,Trade 1 - Daily Directional,Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-06-18 16:30:00,4263.19,39.81,1.076,1,0.0,0.0
2026-06-17_Trade_2,2026-06-17,Trade 2 - Pivot (regime-aware),Trade 2,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-06-18 16:30:00,4263.19,25.21,0.58,1,0.0,0.0
2026-06-17_Trade_3A,2026-06-17,Trade 3 - Regime-driven (fork: 3A Momentum-Pullback),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-18_Trade_1,2026-06-18,Trade 1 - Daily Directional,Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-06-19 16:30:00,4164.11,123.89,1.936,1,0.0,0.0
2026-06-18_Trade_2,2026-06-18,Trade 2 - Pivot (TRANSITION),Trade 2,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-18_Trade_3A,2026-06-18,Trade 3A - Momentum-Pullback (TRANSITION → fork defaults to 3A),Trade 3A,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-06-19 16:30:00,4164.11,101.89,1.959,1,0.0,0.0
2026-06-19_Trade_1,2026-06-19,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-22 16:30:00,4186.98,126.62,1.011,3,-0.019,-0.008
2026-06-19_Trade_2,2026-06-19,"Trade 2 — Pivot (TREND_DOWN, trend-following)",Trade 2,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-22 16:30:00,4186.98,86.88,1.81,3,0.814,2.283
2026-06-19_Trade_3A,2026-06-19,Trade 3 — Momentum-Pullback (variant 3A),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-23_Trade_1,2026-06-23,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-24 16:30:00,3975.5,289.5,3.253,3,-0.088,1.968
2026-06-23_Trade_2,2026-06-23,"Trade 2 — Pivot (regime-aware, TREND_DOWN)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-23_Trade_3A,2026-06-23,Trade 3A — Momentum-Pullback (TREND_DOWN selected),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-24_Trade_1,2026-06-24,"Trade 1 - Daily Directional (SHORT, TREND_DOWN regime)",Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-25 16:30:00,4022.24,321.32,2.218,3,-0.371,0.396
2026-06-24_Trade_2,2026-06-24,"Trade 2 - Pivot (regime-aware, INDICATIVE)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-24_Trade_3A,2026-06-24,Trade 3A - Momentum-Pullback (SHORT),Trade 3A,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-25 16:30:00,4022.24,178.26,1.957,3,-0.376,0.222
2026-06-25_Trade_1,2026-06-25,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-26 16:30:00,4057.19,82.81,0.668,3,-0.763,-0.842
2026-06-25_Trade_2,2026-06-25,"Trade 2 - Pivot, regime-aware (TREND_DOWN → trend-follow short across pivot)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-25_Trade_3A,2026-06-25,"Trade 3A - Momentum-Pullback (TREND_DOWN, SHORT)",Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-26_Trade_1,2026-06-26,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-06-29 16:30:00,4037.84,58.16,1.039,3,-0.358,-0.333
2026-06-26_Trade_2,2026-06-26,"Trade 2 — Pivot (Trend-Following, TREND_DOWN)",Trade 2,SHORT,usopen,FILLED,STOP touched,2026-06-29 17:00:00,4015.0,47.0,1.0,3,-0.333,-0.333
2026-06-26_Trade_3A,2026-06-26,"Trade 3 — Momentum-Pullback (3A, TREND_DOWN)",Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-29_Trade_1,2026-06-29,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-29_Trade_2,2026-06-29,"Trade 2 - Pivot, Trend-Following (SHORT)",Trade 2,SHORT,usopen,FILLED,LIMIT touched,2026-06-30 16:45:00,4031.0,47.0,1.0,3,0.993,0.993
2026-06-29_Trade_3A,2026-06-29,Trade 3A - Momentum-Pullback (SHORT),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-30_Trade_1,2026-06-30,Trade 1 - Daily Directional,Trade 1,SHORT,usopen,FILLED,LIMIT touched,2026-07-01 16:30:00,4062.0,34.0,1.0,3,-1.0,-1.0
2026-06-30_Trade_2,2026-06-30,"Trade 2 - Pivot (regime-aware, TREND)",Trade 2,SHORT,usopen,FILLED,STOP touched,2026-07-01 23:00:00,4029.0,33.0,1.0,3,-1.0,-1.0
2026-06-30_Trade_3A,2026-06-30,Trade 3 - Complex (fork → 3A Momentum-Pullback),Trade 3A,SHORT,usopen,FILLED,LIMIT touched,2026-07-01 16:30:00,4075.0,25.0,1.0,3,-0.333,-0.333
2026-07-01_Trade_1,2026-07-01,Trade 1 — Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-01_Trade_2,2026-07-01,"Trade 2 — Pivot, TREND-continuation (medium regime TREND_DOWN)",Trade 2,SHORT,usopen,SKIPPED_MICRO_R,LIMIT already marketable at 16:30 - filled at open,2026-07-02 16:30:00,4113.1,2.16,0.057,1,0.0,0.0
2026-07-01_Trade_3A,2026-07-01,Trade 3A — Momentum-Pullback (regime TREND_DOWN; sell the counter-trend bounce),Trade 3A,SHORT,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-07-02 16:30:00,4113.1,35.46,0.686,1,0.0,0.0
2026-07-02_Trade_1,2026-07-02,Trade 1 — Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-02_Trade_2,2026-07-02,"Trade 2 — Pivot (regime-aware, TRANSITION → sell rally into resistance)",Trade 2,SHORT,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-07-03 16:30:00,4171.5,106.5,2.033,1,0.0,0.0
2026-07-02_Trade_3A,2026-07-02,"Trade 3 — Complex (fork → 3A Momentum-Pullback, short side)",Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-03_Trade_1,2026-07-03,Trade 1 — Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-03_Trade_2,2026-07-03,"Trade 2 — Pivot, range-fade variant (TRANSITION regime)",Trade 2,SHORT,usopen,FILLED,LIMIT touched,2026-07-06 16:30:00,4145.0,38.0,1.0,3,1.067,1.067
2026-07-03_Trade_3A,2026-07-03,"Trade 3A — Momentum-Pullback (fork selected: TRANSITION with short-term bullish impulse → buy the pullback, tight)",Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-06_Trade_1,2026-07-06,Trade 1 — Daily Directional (LONG — direction score +0.43),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-07-07 16:30:00,4166.74,71.25,0.842,3,-1.0,-1.0
2026-07-06_Trade_2,2026-07-06,"Trade 2 — Pivot (TRANSITION, breakout side only — LONG)",Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-06_Trade_3C,2026-07-06,Trade 3 — Momentum-Breakout 3C (TRANSITION regime),Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-08-06 16:30:00,4247.76,74.96,1.436,3,2.409,3.895
2026-07-07_Trade_1,2026-07-07,Trade 1 - Daily Directional (LONG),Trade 1,LONG,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-07-07_Trade_2,2026-07-07,"Trade 2 - Pivot, TRANSITION (breakout-side only)",Trade 2,LONG,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-07-07_Trade_3C,2026-07-07,"Trade 3 - Momentum-Breakout 3C (TRANSITION, armed)",Trade 3C,LONG,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-07-09_Trade_1,2026-07-09,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-07-10 16:30:00,4087.62,60.38,1.342,3,0.401,0.88
2026-07-09_Trade_2,2026-07-09,"Trade 2 - Pivot, Range-Aware (SHORT fade of resistance)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-09_Trade_3B,2026-07-09,"Trade 3B - Mean-Reversion (range fade, regime-driven)",Trade 3B,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-10_Trade_1,2026-07-10,Trade 1 - Daily Directional,Trade 1,SHORT,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-10_Trade_2,2026-07-10,"Trade 2 - Pivot, regime-aware. TREND_DOWN branch: fade rallies into resistance rather than buy dips into support.",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-10_Trade_3A,2026-07-10,Trade 3A - Momentum-Pullback. Variant selected by the TREND_DOWN regime fork: sell the retracement of the dominant downswing.,Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-13_Trade_1,2026-07-13,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-13_Trade_2,2026-07-13,Trade 2 - Pivot (regime-aware); RANGE regime -> fade toward pivot,Trade 2,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-07-14 16:30:00,4081.57,22.57,0.868,3,-1.0,-1.0
2026-07-13_Trade_3B,2026-07-13,Trade 3B - Mean-Reversion (RANGE + KER below trend threshold + flat VOLator slope),Trade 3B,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-14_Trade_1,2026-07-14,"Trade 1 - Daily Directional (SHORT - bearish continuation, below-pivot)",Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-07-15 16:30:00,4055.87,46.13,1.083,3,0.84,0.992
2026-07-14_Trade_2,2026-07-14,"Trade 2 - Pivot (regime-aware, RANGE-edge fade)",Trade 2,SHORT,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-07-14_Trade_3A,2026-07-14,Trade 3A - Momentum-Pullback (fork target - SHORT),Trade 3A,SHORT,usopen,FILLED,STOP touched,2026-07-15 18:00:00,4048.0,44.0,1.0,3,0.667,0.667
2026-07-15_Trade_1,2026-07-15,Trade 1 — Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
