report_id,report_date,strategy,direction,entry_mode,card_entry,stop,card_R,entry_session,fill_status,fill_time,fill_price,R_points,risk_ratio,micro,units,blended_R
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7371.85,7348.0,23.85,2026-05-20,FILLED,2026-05-20 06:45:00,7351.4,3.4,0.143,MICRO-R,3,-1.0
SPX-2026-05-19,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),LONG,BUY LIMIT (layered 7444.43 / 7427.32),7435.5,7360.0,75.5,2026-05-20,MALFORMED,2026-05-20 06:45:00,7351.4,8.6,0.114,,3,-1.0
SPX-2026-05-20,2026-05-20,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),LONG,BUY STOP from 14:30 UK cash open,7442.17,7372.92,69.25,2026-05-21,FILLED,2026-05-21 08:00:00,7442.17,69.25,1.0,,3,0.689
SPX-2026-05-20,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),LONG,BUY LIMIT,7360.0,7325.0,35.0,2026-05-21,NO FILL,,,,,,1,0.0
SPX-2026-05-21,2026-05-21,Trade 1 - Daily Directional,LONG,MARKET @ overridden daily-open anchor (proxy = 20 May RTH close),7432.97,7326.24,106.73,2026-05-22,FILLED,2026-05-22 06:45:00,7472.2,145.96,1.368,,3,-0.182
SPX-2026-05-21,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),LONG,BUY STOP,7442.42,7375.01,67.41,2026-05-22,FILLED,2026-05-22 06:45:00,7472.2,97.19,1.442,,3,0.55
SPX-2026-05-21,2026-05-21,Trade 3C - Range Breakout (conditional),LONG,"CONDITIONAL - daily close above 7515.81, enter at that close",7515.81,7225.11,290.7,2026-05-26,FILLED,2026-05-26 06:45:00,7527.7,302.59,1.041,,3,0.739
SPX-2026-05-22,2026-05-22,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-05-22,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),LONG,BUY STOP,7415.0,7355.0,60.0,2026-05-25,FILLED,2026-05-25 06:45:00,7544.9,189.9,3.165,,3,-0.389
SPX-2026-05-22,2026-05-22,Trade 3C - Momentum-Breakout (conditional),LONG,"CONDITIONAL - daily close above ~7539, enter at that close",7539.0,7193.0,346.0,2026-05-26,FILLED,2026-05-26 06:45:00,7527.7,334.7,0.967,,3,0.668
SPX-2026-05-25,2026-05-25,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK on 26 May (post-holiday open),7473.47,7403.3,70.17,2026-05-26,FILLED,2026-05-26 06:45:00,7527.7,124.4,1.773,,3,0.257
SPX-2026-05-25,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7447.53,7426.43,21.1,2026-05-26,FILLED,2026-05-26 06:45:00,7527.7,101.27,4.8,,3,-0.465
SPX-2026-05-25,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),LONG,BUY LIMIT,7400.82,7320.9,79.9,2026-05-26,NO FILL,,,,,,1,0.0
SPX-2026-05-26,2026-05-26,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7473.47,7397.96,76.0,2026-05-27,FILLED,2026-05-27 06:45:00,7531.0,133.04,1.751,,3,0.309
SPX-2026-05-26,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",LONG,BUY STOP,7448.3,7426.33,22.0,2026-05-27,FILLED,2026-05-27 06:45:00,7531.0,104.67,4.758,,3,-0.465
SPX-2026-05-26,2026-05-26,Trade 3C - Range Breakout (conditional),LONG,CONDITIONAL - daily close above ~7574.60,7574.6,7160.29,414.31,2026-05-29,FILLED,2026-05-29 06:45:00,7570.8,410.51,0.991,,3,0.44
SPX-2026-05-27,2026-05-27,Trade 1 - Daily Directional,LONG,MARKET @ next regular cash session open (14:30 UK),7519.12,7330.35,188.8,2026-05-28,FILLED,2026-05-28 06:45:00,7502.8,172.45,0.913,,3,-0.521
SPX-2026-05-27,2026-05-27,Trade 2 - Pivot (TREND_UP),LONG,BUY LIMIT,7451.26,7389.82,61.4,2026-05-28,NO FILL,,,,,,1,0.0
SPX-2026-05-27,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),LONG,BUY LIMIT,7421.5,7330.35,91.2,2026-05-28,NO FILL,,,,,,1,0.0
SPX-2026-05-28,2026-05-28,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK European open,7519.0,7471.2,47.8,2026-05-29,FILLED,2026-05-29 06:45:00,7570.8,99.6,2.084,,3,0.094
SPX-2026-05-28,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),LONG,BUY LIMIT,7510.0,7479.0,31.0,2026-05-29,NO FILL,,,,,,1,0.0
SPX-2026-05-28,2026-05-28,Trade 3A - Momentum-Pullback,LONG,BUY LIMIT,7495.0,7471.0,24.0,2026-05-29,NO FILL,,,,,,1,0.0
SPX-2026-05-29,2026-05-29,Trade 1 - Daily Directional,LONG,BUY LIMIT,7535.0,7495.0,40.0,2026-06-01,NO FILL,,,,,,1,0.0
SPX-2026-05-29,2026-05-29,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7551.0,7517.0,34.0,2026-06-01,NO FILL,,,,,,1,0.0
SPX-2026-05-29,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),LONG,BUY STOP,7572.0,7528.0,44.0,2026-06-01,FILLED,2026-06-01 06:45:00,7604.7,76.7,1.743,,3,-0.618
SPX-2026-06-01,2026-06-01,Trade 1 - Daily Directional (breakout stop),LONG,BUY STOP,7599.5,7562.6,36.9,2026-06-02,FILLED,2026-06-02 11:00:00,7599.5,36.9,1.0,,3,-0.47
SPX-2026-06-01,2026-06-01,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7581.0,7545.2,35.8,2026-06-02,FILLED,2026-06-02 06:45:00,7572.8,27.6,0.771,,3,0.786
SPX-2026-06-01,2026-06-01,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7538.0,7520.0,18.0,2026-06-02,NO FILL,,,,,,1,0.0
SPX-2026-06-02,2026-06-02,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7599.96,7551.51,48.45,2026-06-03,FILLED,2026-06-03 06:45:00,7616.5,64.99,1.341,,3,-1.0
SPX-2026-06-02,2026-06-02,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7580.81,7550.76,30.05,2026-06-03,FILLED,2026-06-03 16:45:00,7580.81,30.05,1.0,,3,-1.0
SPX-2026-06-02,2026-06-02,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7552.5,7525.28,27.22,2026-06-03,FILLED,2026-06-03 23:15:00,7552.5,27.22,1.0,,3,-1.0
SPX-2026-06-03,2026-06-03,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7585.5,7499.14,86.36,2026-06-04,FILLED,2026-06-04 06:45:00,7532.7,33.56,0.389,MICRO-R,3,-0.176
SPX-2026-06-03,2026-06-03,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7601.28,7557.81,43.47,2026-06-04,MALFORMED,2026-06-04 06:45:00,7532.7,25.11,0.578,,3,-1.0
SPX-2026-06-03,2026-06-03,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7573.68,7484.0,89.68,2026-06-04,FILLED,2026-06-04 06:45:00,7532.7,48.7,0.543,,3,-1.0
SPX-2026-06-04,2026-06-04,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK (overridden anchor),7609.78,7573.71,36.07,2026-06-05,MALFORMED,2026-06-05 06:45:00,7551.6,22.11,0.613,,3,-1.0
SPX-2026-06-04,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),LONG,BUY STOP,7606.72,7591.48,15.24,2026-06-05,NO FILL,,,,,,1,0.0
SPX-2026-06-04,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),LONG,BUY LIMIT,7554.26,7490.5,63.76,2026-06-05,FILLED,2026-06-05 06:45:00,7551.6,61.1,0.958,,3,-1.0
SPX-2026-06-05,2026-06-05,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-06-05,2026-06-05,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7570.0,7512.0,58.0,2026-06-08,MALFORMED,2026-06-08 06:45:00,7411.0,101.0,1.741,,3,-1.0
SPX-2026-06-05,2026-06-05,Trade 3A - Momentum-Pullback (breakout stop),LONG,BUY STOP,7593.0,7548.0,45.0,2026-06-08,NO FILL,,,,,,1,0.0
SPX-2026-06-08,2026-06-08,Trade 1 - Daily Directional,SHORT,MARKET @ cash open 14:30 UK,7384.0,7475.0,91.0,2026-06-09,FILLED,2026-06-09 06:45:00,7427.3,47.7,0.524,,3,-1.0
SPX-2026-06-08,2026-06-08,Trade 3A - Momentum-Pullback (sell limit weekly S2),SHORT,SELL LIMIT,7460.0,7565.0,105.0,2026-06-09,FILLED,2026-06-09 16:30:00,7460.0,105.0,1.0,,3,0.679
SPX-2026-06-09,2026-06-09,Trade 1 - Daily Directional,SHORT,MARKET @ cash open 14:30 UK,7384.0,7484.0,100.0,2026-06-10,FILLED,2026-06-10 06:45:00,7366.3,117.7,1.177,,3,0.196
SPX-2026-06-09,2026-06-09,Trade 3A - Momentum-Pullback (sell limit daily P),SHORT,SELL LIMIT,7449.58,7521.0,71.0,2026-06-10,NO FILL,,,,,,1,0.0
SPX-2026-06-10,2026-06-10,Trade 1 - Daily Directional (sell stop),SHORT,SELL STOP,7330.0,7476.0,146.0,2026-06-11,FILLED,2026-06-11 06:45:00,7294.9,181.1,1.24,,3,-0.85
SPX-2026-06-10,2026-06-10,Trade 2 - Pivot (sell limit weekly P),SHORT,SELL LIMIT,7460.0,7518.0,58.0,2026-06-11,NO FILL,,,,,,1,0.0
SPX-2026-06-10,2026-06-10,Trade 3C - Momentum-Breakout (sell stop),SHORT,SELL STOP,7322.0,7396.0,74.0,2026-06-11,FILLED,2026-06-11 06:45:00,7294.9,101.1,1.366,,3,-1.0
SPX-2026-06-11,2026-06-11,Trade 1 - Daily Directional,SHORT,MARKET @ 07:00 UK,7267.45,7552.45,285.0,2026-06-12,FILLED,2026-06-12 06:45:00,7404.1,148.35,0.521,,3,-0.734
SPX-2026-06-11,2026-06-11,Trade 3A - Momentum-Pullback (57.5% rally-sell),SHORT,SELL LIMIT,7463.0,7641.0,178.0,2026-06-12,NO FILL,,,,,,1,0.0
SPX-2026-06-15,2026-06-15,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7431.51,7338.91,92.6,2026-06-16,FILLED,2026-06-16 06:45:00,7561.6,222.69,2.405,,3,-0.456
SPX-2026-06-15,2026-06-15,Trade 2 - Pivot (buy stop daily R1),LONG,BUY STOP,7470.9,7416.86,54.04,2026-06-16,FILLED,2026-06-16 06:45:00,7561.6,144.74,2.678,,3,-0.751
SPX-2026-06-15,2026-06-15,Trade 3C - Breakout (buy stop 5-day swing high),LONG,BUY STOP,7483.15,7416.96,66.19,2026-06-16,FILLED,2026-06-16 06:45:00,7561.6,144.64,2.185,,3,-0.695
SPX-2026-06-16,2026-06-16,Trade 1 - Daily Directional,LONG,MARKET @ overridden daily-open anchor,7431.24,7389.24,42.0,2026-06-17,FILLED,2026-06-17 06:45:00,7540.2,150.96,3.594,,3,-0.134
SPX-2026-06-16,2026-06-16,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7398.71,7353.41,45.3,2026-06-17,NO FILL,,,,,,1,0.0
SPX-2026-06-16,2026-06-16,Trade 3A - Momentum-Pullback (pivot confluence),LONG,BUY LIMIT,7400.0,7330.0,70.0,2026-06-17,NO FILL,,,,,,1,0.0
SPX-2026-06-17,2026-06-17,Trade 1 - Daily Directional,LONG,BUY LIMIT (daily P),7558.0,7475.0,83.0,2026-06-18,FILLED,2026-06-18 06:45:00,7488.0,13.0,0.157,MICRO-R,3,-1.0
SPX-2026-06-17,2026-06-17,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7527.0,7470.0,57.0,2026-06-18,FILLED,2026-06-18 06:45:00,7488.0,18.0,0.316,MICRO-R,3,-1.0
SPX-2026-06-17,2026-06-17,Trade 3A - Momentum-Pullback (breakout stop),LONG,BUY STOP,7590.0,7527.0,63.0,2026-06-18,NO FILL,,,,,,1,0.0
SPX-2026-06-18,2026-06-18,Trade 1 - Daily Directional,SHORT,MARKET @ 07:00 UK,7420.0,7501.0,81.0,2026-06-19,FILLED,2026-06-19 06:45:00,7476.4,24.6,0.304,MICRO-R,3,-1.0
SPX-2026-06-18,2026-06-18,Trade 2 - Pivot (sell limit monthly S1 / daily P),SHORT,SELL LIMIT,7450.0,7506.0,56.0,2026-06-19,FILLED,2026-06-19 06:45:00,7476.4,29.6,0.529,,3,-1.0
SPX-2026-06-18,2026-06-18,Trade 3C - Momentum-Breakout (sell stop),SHORT,SELL STOP,7369.0,7427.0,58.0,2026-06-19,NO FILL,,,,,,1,0.0
SPX-2026-06-19,2026-06-19,Trade 1 - Daily Directional,LONG,MARKET @ next open,7500.58,7465.0,35.58,2026-06-22,FILLED,2026-06-22 06:45:00,7480.0,15.0,0.422,MICRO-R,3,0.951
SPX-2026-06-19,2026-06-19,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7475.58,7450.57,25.01,2026-06-22,FILLED,2026-06-22 06:45:00,7475.58,25.01,1.0,,3,1.067
SPX-2026-06-19,2026-06-19,Trade 3A - Momentum-Pullback (breakout stop),LONG,BUY STOP,7512.0,7478.0,34.0,2026-06-22,FILLED,2026-06-22 14:00:00,7512.0,34.0,1.0,,3,-1.0
SPX-2026-06-24,2026-06-24,Trade 1 - Daily Directional,SHORT,MARKET @ cash open 14:30 UK,7365.17,7470.17,105.0,2026-06-25,FILLED,2026-06-25 06:45:00,7407.3,62.87,0.599,,3,-0.507
SPX-2026-06-24,2026-06-24,Trade 2 - Pivot (sell limit daily P shelf),SHORT,SELL LIMIT,7404.0,7489.0,85.0,2026-06-25,FILLED,2026-06-25 06:45:00,7407.3,81.7,0.961,,3,-0.31
SPX-2026-06-24,2026-06-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),SHORT,SELL LIMIT,7453.0,7545.0,92.0,2026-06-25,NO FILL,,,,,,1,0.0
SPX-2026-06-25,2026-06-25,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-06-25,2026-06-25,"Trade 2 - Pivot (range fade, sell limit daily R1)",SHORT,SELL LIMIT,7403.21,7430.0,27.0,2026-06-26,NO FILL,,,,,,1,0.0
SPX-2026-06-25,2026-06-25,"Trade 3A - Momentum-Pullback (sell stop, break of 23 Jun low)",SHORT,SELL STOP,7346.0,7385.0,39.0,2026-06-26,FILLED,2026-06-26 06:45:00,7312.6,72.4,1.856,,3,-0.346
SPX-2026-06-26,2026-06-26,Trade 1 - Daily Directional (sell stop),SHORT,SELL STOP,7336.8,7412.0,75.2,2026-06-29,NO FILL,,,,,,1,0.0
SPX-2026-06-26,2026-06-26,Trade 2 - Pivot (sell limit daily P),SHORT,SELL LIMIT,7374.37,7465.61,91.24,2026-06-29,FILLED,2026-06-29 06:45:00,7382.5,83.11,0.911,,3,-1.0
SPX-2026-06-26,2026-06-26,Trade 3A - Momentum-Pullback (sell limit daily R1 / 38.2%),SHORT,SELL LIMIT,7411.91,7465.61,53.7,2026-06-29,FILLED,2026-06-29 13:45:00,7411.91,53.7,1.0,,3,-0.326
SPX-2026-06-29,2026-06-29,Trade 1 - Daily Directional,SHORT,MARKET @ overridden daily-open anchor 07:00 UK,7354.0,7558.0,204.0,2026-06-30,FILLED,2026-06-30 06:45:00,7449.7,108.3,0.531,,3,-0.782
SPX-2026-06-29,2026-06-29,Trade 2 - Pivot (sell stop below daily S1),SHORT,SELL STOP,7296.6,7389.4,93.0,2026-06-30,NO FILL,,,,,,1,0.0
SPX-2026-06-29,2026-06-29,"Trade 3C - Momentum-Breakout (sell stop, conditional)",SHORT,SELL STOP,7209.9,7349.7,140.0,2026-06-30,NO FILL,,,,,,1,0.0
SPX-2026-06-30,2026-06-30,Trade 1 - Daily Directional,SHORT,MARKET @ 00:00 UK (overridden),7354.0,7500.0,146.0,2026-07-01,FILLED,2026-07-01 06:45:00,7475.8,24.2,0.166,MICRO-R,3,-1.0
SPX-2026-06-30,2026-06-30,Trade 2 - Pivot (sell stop below P),SHORT,SELL STOP,7350.0,7369.0,19.0,2026-07-01,NO FILL,,,,,,1,0.0
SPX-2026-06-30,2026-06-30,Trade 3A - Momentum-Pullback (57.5% rally-sell),SHORT,SELL LIMIT,7420.0,7500.0,80.0,2026-07-01,FILLED,2026-07-01 06:45:00,7475.8,24.2,0.302,MICRO-R,3,-1.0
SPX-2026-07-01,2026-07-01,Trade 1 - Daily Directional (buy limit daily P),LONG,BUY LIMIT,7413.0,7377.0,36.0,2026-07-02,NO FILL,,,,,,1,0.0
SPX-2026-07-01,2026-07-01,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7413.0,7382.0,31.0,2026-07-02,NO FILL,,,,,,1,0.0
SPX-2026-07-01,2026-07-01,Trade 3A - Momentum-Pullback (breakout stop),LONG,BUY STOP,7446.0,7401.0,45.0,2026-07-02,FILLED,2026-07-02 06:45:00,7500.2,99.2,2.204,,3,0.072
SPX-2026-07-02,2026-07-02,Trade 1 - Daily Directional,LONG,MARKET @ session open 07:00 UK,7499.36,7412.56,86.8,2026-07-03,FILLED,2026-07-03 06:45:00,7496.5,83.94,0.967,,3,0.055
SPX-2026-07-02,2026-07-02,Trade 2 - Pivot (regime-aware),,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-02,2026-07-02,Trade 3A - Momentum-Pullback (57.5% fib),LONG,BUY LIMIT,7425.33,7344.02,81.31,2026-07-03,NO FILL,,,,,,1,0.0
SPX-2026-07-03,2026-07-03,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK (overridden),7482.5,7428.0,54.5,2026-07-06,FILLED,2026-07-06 06:45:00,7491.6,63.6,1.167,,3,0.191
SPX-2026-07-03,2026-07-03,Trade 2 - Pivot (TRANSITION breakout side),,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-03,2026-07-03,Trade 3C - Momentum-Breakout (conditional),LONG,CONDITIONAL - confirmed daily close above 7620.9,7620.9,7391.0,229.9,2026-08-05,FILLED,2026-08-05 06:45:00,7764.7,373.7,1.625,,3,-0.036
SPX-2026-07-09,2026-07-09,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-09,2026-07-09,Trade 2 - Pivot (sell limit daily P),SHORT,SELL LIMIT,7508.9,7545.0,36.1,2026-07-10,FILLED,2026-07-10 06:45:00,7535.4,9.6,0.266,MICRO-R,3,-1.0
SPX-2026-07-09,2026-07-09,Trade 3A - Momentum-Pullback (sell stop),SHORT,SELL STOP,7438.0,7485.0,47.0,2026-07-10,NO FILL,,,,,,1,0.0
SPX-2026-07-10,2026-07-10,Trade 1 - Daily Directional,LONG,MARKET @ 14:30 UK cash open (overridden anchor),7543.64,7472.74,70.9,2026-07-13,FILLED,2026-07-13 06:45:00,7539.7,66.96,0.944,,3,-0.814
SPX-2026-07-10,2026-07-10,Trade 2 - Pivot (regime-aware),,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-10,2026-07-10,Trade 3C - Momentum-Breakout,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-13,2026-07-13,Trade 1 - Daily Directional,LONG,MARKET @ 14:30 UK cash open,7575.39,7480.25,95.14,2026-07-14,FILLED,2026-07-14 06:45:00,7492.3,12.05,0.127,MICRO-R,3,0.863
SPX-2026-07-13,2026-07-13,Trade 2 - Pivot (TRANSITION breakout side),LONG,BUY STOP,7577.84,7505.84,72.0,2026-07-14,NO FILL,,,,,,1,0.0
SPX-2026-07-13,2026-07-13,Trade 3C - Momentum-Breakout,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-14,2026-07-14,Trade 1 - Daily Directional,LONG,MARKET @ session open 07:00 UK,7575.39,7529.06,46.3,2026-07-15,FILLED,2026-07-15 06:45:00,7561.5,32.44,0.701,,3,-1.0
SPX-2026-07-14,2026-07-14,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7554.49,7482.72,71.77,2026-07-15,FILLED,2026-07-15 10:15:00,7554.49,71.77,1.0,,3,-1.0
SPX-2026-07-14,2026-07-14,Trade 3A - Momentum-Pullback (breakout stop),LONG,BUY STOP,7581.0,7508.16,72.84,2026-07-15,FILLED,2026-07-15 16:30:00,7581.0,72.84,1.0,,3,-1.0
SPX-2026-07-15,2026-07-15,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7543.6,7483.4,60.2,2026-07-16,FILLED,2026-07-16 06:45:00,7580.5,97.1,1.613,,3,-0.853
SPX-2026-07-15,2026-07-15,Trade 2 - Pivot (TRANSITION breakout side),LONG,BUY STOP,7530.6,7497.8,32.8,2026-07-16,FILLED,2026-07-16 06:45:00,7580.5,82.7,2.521,,3,-0.077
SPX-2026-07-15,2026-07-15,Trade 3C - Momentum-Breakout,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-16,2026-07-16,Trade 1 - Daily Directional,LONG,MARKET @ 14:30 UK cash open,7543.59,7402.26,141.34,2026-07-17,FILLED,2026-07-17 06:45:00,7488.7,86.44,0.612,,3,-0.795
SPX-2026-07-16,2026-07-16,Trade 2 - Pivot (buy limit daily P),LONG,BUY LIMIT,7538.09,7518.73,19.36,2026-07-17,MALFORMED,2026-07-17 06:45:00,7488.7,30.03,1.551,,3,-1.0
SPX-2026-07-16,2026-07-16,Trade 3C - Transition Breakout,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-07-17,2026-07-17,Trade 1 - Daily Directional,SHORT,PENDING @ 14:30 UK cash open,7542.76,7586.27,43.51,2026-07-20,FILLED,2026-07-20 06:45:00,7468.5,117.77,2.707,,3,0.016
SPX-2026-07-17,2026-07-17,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7501.61,7453.57,48.04,2026-07-20,FILLED,2026-07-20 06:45:00,7468.5,14.93,0.311,MICRO-R,3,-1.0
SPX-2026-07-17,2026-07-17,Trade 3 - Pivot fade (sell limit daily R1),SHORT,SELL LIMIT,7568.33,7599.43,31.1,2026-07-20,NO FILL,,,,,,1,0.0
SPX-2026-07-20,2026-07-20,Trade 1 - Daily Directional,SHORT,MARKET @ 07:00 UK,7457.69,7516.52,58.83,2026-07-21,FILLED,2026-07-21 06:45:00,7471.2,45.32,0.77,,3,-0.906
SPX-2026-07-20,2026-07-20,Trade 2 - Pivot (TRANSITION down-break side),SHORT,SELL STOP,7458.87,7487.44,28.57,2026-07-21,NO FILL,,,,,,1,0.0
SPX-2026-07-20,2026-07-20,Trade 3C - Momentum-Breakout (conditional),SHORT,CONDITIONAL - stop-entry ~7276.13 on confirmed downside close,7276.13,7470.83,194.7,,NO TRIGGER,,,,,,1,0.0
SPX-2026-07-21,2026-07-21,Trade 1 - Daily Directional,SHORT,MARKET @ overridden session-open anchor,7443.0,7502.0,59.0,2026-07-22,FILLED,2026-07-22 06:45:00,7501.8,0.2,0.003,MICRO-R,3,-1.0
SPX-2026-07-21,2026-07-21,Trade 2 - Pivot (regime-aware),,,,,,,SUPPRESSED,,,,,,1,0.0
