report_id,report_date,strategy,direction,entry_session,entry_rule,fill_status,fill_time,card_entry,fill_price,stop,R_points,risk_vs_card,units,blended_R,notes
SPX-2026-06-25,2026-06-25,"Trade 3A - Momentum-Pullback (sell stop, break of 23 Jun low)",SHORT,2026-06-26,WAITED: 08:45 was -0.90R worse; filled on the return to entry 7346.00,FILLED,2026-06-26 09:45:00,7346.0,7346.0,7385.0,39.0,1.0,3,0.214,
SPX-2026-06-26,2026-06-26,Trade 1 - Daily Directional (sell stop),SHORT,2026-06-29,RECOVERY: 08:45 was +0.82R beyond entry; took the -0.5R level 7374.40,FILLED,2026-06-29 17:00:00,7336.8,7374.4,7412.0,37.6,0.5,3,-1.0,
SPX-2026-06-26,2026-06-26,Trade 2 - Pivot (sell limit daily P),SHORT,2026-06-29,IN BAND at 08:45 (+0.27R vs entry) - taken at market,FILLED,2026-06-29 08:45:00,7374.37,7398.6,7465.61,67.01,0.734,3,-1.0,
SPX-2026-06-26,2026-06-26,Trade 3A - Momentum-Pullback (sell limit daily R1 / 38.2%),SHORT,2026-06-29,WAITED: 08:45 was -0.25R worse; filled on the return to entry 7411.91,FILLED,2026-06-29 13:45:00,7411.91,7411.91,7465.61,53.7,1.0,3,-0.326,
SPX-2026-06-29,2026-06-29,Trade 1 - Daily Directional,SHORT,2026-06-30,IN BAND at 08:45 (+0.48R vs entry) - taken at market,FILLED,2026-06-30 08:45:00,7354.0,7452.4,7558.0,105.6,0.518,3,-0.777,TP3 not beyond TP2 (inverted ladder)
SPX-2026-06-29,2026-06-29,Trade 2 - Pivot (sell stop below daily S1),SHORT,,DUD SCREEN,REJECTED - DUD,,7296.6,,7389.4,,,1,0.0,TP1 on the wrong side of entry
SPX-2026-06-29,2026-06-29,"Trade 3C - Momentum-Breakout (sell stop, conditional)",SHORT,2026-06-30,RECOVERY to -0.5R,NO FILL,,7209.9,,7349.7,,,1,0.0,
SPX-2026-06-30,2026-06-30,Trade 1 - Daily Directional,SHORT,2026-07-01,RECOVERY to -0.5R,NO FILL,,7354.0,,7500.0,,,1,0.0,TP3 not beyond TP2 (inverted ladder)
SPX-2026-06-30,2026-06-30,Trade 2 - Pivot (sell stop below P),SHORT,2026-07-01,RECOVERY to -0.5R,NO FILL,,7350.0,,7369.0,,,1,0.0,
SPX-2026-06-30,2026-06-30,Trade 3A - Momentum-Pullback (57.5% rally-sell),SHORT,2026-07-01,IN BAND at 08:45 (+0.69R vs entry) - taken at market,FILLED,2026-07-01 08:45:00,7420.0,7474.9,7500.0,25.1,0.314,3,-1.0,
SPX-2026-07-01,2026-07-01,Trade 1 - Daily Directional (buy limit daily P),LONG,2026-07-02,WAIT for entry,NO FILL,,7413.0,,7377.0,,,1,0.0,
SPX-2026-07-01,2026-07-01,Trade 2 - Pivot (buy limit daily P),LONG,2026-07-02,WAIT for entry,NO FILL,,7413.0,,7382.0,,,1,0.0,
SPX-2026-07-01,2026-07-01,Trade 3A - Momentum-Pullback (breakout stop),LONG,2026-07-02,WAITED: 08:45 was -0.98R worse; filled on the return to entry 7446.00,FILLED,2026-07-02 19:45:00,7446.0,7446.0,7401.0,45.0,1.0,3,1.363,
SPX-2026-07-02,2026-07-02,Trade 1 - Daily Directional,LONG,2026-07-03,WAITED: 08:45 was -0.01R worse; filled on the return to entry 7499.36,FILLED,2026-07-03 08:45:00,7499.36,7499.36,7412.56,86.8,1.0,3,0.02,
SPX-2026-07-02,2026-07-02,Trade 2 - Pivot (regime-aware),,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-02,2026-07-02,Trade 3A - Momentum-Pullback (57.5% fib),LONG,2026-07-03,WAIT for entry,NO FILL,,7425.33,,7344.02,,,1,0.0,
SPX-2026-07-03,2026-07-03,Trade 1 - Daily Directional,LONG,2026-07-06,WAIT for entry,NO FILL,,7482.5,,7428.0,,,1,0.0,
SPX-2026-07-03,2026-07-03,Trade 2 - Pivot (TRANSITION breakout side),,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-03,2026-07-03,Trade 3C - Momentum-Breakout (conditional),LONG,2026-08-05,WAIT for entry,NO FILL,,7620.9,,7391.0,,,1,0.0,
SPX-2026-07-09,2026-07-09,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-09,2026-07-09,Trade 2 - Pivot (sell limit daily P),SHORT,2026-07-10,IN BAND at 08:45 (+0.62R vs entry) - taken at market,FILLED,2026-07-10 08:45:00,7508.9,7531.2,7545.0,13.8,0.382,3,-1.0,
SPX-2026-07-09,2026-07-09,Trade 3A - Momentum-Pullback (sell stop),SHORT,2026-07-10,RECOVERY to -0.5R,NO FILL,,7438.0,,7485.0,,,1,0.0,
SPX-2026-07-10,2026-07-10,Trade 1 - Daily Directional,LONG,2026-07-13,IN BAND at 08:45 (+0.18R vs entry) - taken at market,FILLED,2026-07-13 08:45:00,7543.64,7530.7,7472.74,57.96,0.817,3,-0.785,TP3 not beyond TP2 (inverted ladder)
SPX-2026-07-10,2026-07-10,Trade 2 - Pivot (regime-aware),,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-10,2026-07-10,Trade 3C - Momentum-Breakout,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-13,2026-07-13,Trade 1 - Daily Directional,LONG,2026-07-14,IN BAND at 08:45 (+0.53R vs entry) - taken at market,FILLED,2026-07-14 08:45:00,7575.39,7525.0,7480.25,44.75,0.47,3,-0.498,
SPX-2026-07-13,2026-07-13,Trade 2 - Pivot (TRANSITION breakout side),LONG,,DUD SCREEN,REJECTED - DUD,,7577.84,,7505.84,,,1,0.0,TP1 on the wrong side of entry
SPX-2026-07-13,2026-07-13,Trade 3C - Momentum-Breakout,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-14,2026-07-14,Trade 1 - Daily Directional,LONG,2026-07-15,IN BAND at 08:45 (+0.28R vs entry) - taken at market,FILLED,2026-07-15 08:45:00,7575.39,7562.5,7529.06,33.44,0.722,3,-1.0,
SPX-2026-07-14,2026-07-14,Trade 2 - Pivot (buy limit daily P),LONG,2026-07-15,WAITED: 08:45 was -0.11R worse; filled on the return to entry 7554.49,FILLED,2026-07-15 10:15:00,7554.49,7554.49,7482.72,71.77,1.0,3,-1.0,
SPX-2026-07-14,2026-07-14,Trade 3A - Momentum-Pullback (breakout stop),LONG,2026-07-15,IN BAND at 08:45 (+0.25R vs entry) - taken at market,FILLED,2026-07-15 08:45:00,7581.0,7562.5,7508.16,54.34,0.746,3,-1.0,
SPX-2026-07-15,2026-07-15,Trade 1 - Daily Directional,LONG,2026-07-16,WAITED: 08:45 was -0.57R worse; filled on the return to entry 7543.60,FILLED,2026-07-16 14:45:00,7543.6,7543.6,7483.4,60.2,1.0,3,-0.763,
SPX-2026-07-15,2026-07-15,Trade 2 - Pivot (TRANSITION breakout side),LONG,2026-07-16,WAITED: 08:45 was -1.44R worse; filled on the return to entry 7530.60,FILLED,2026-07-16 21:30:00,7530.6,7530.6,7497.8,32.8,1.0,3,-1.0,
SPX-2026-07-15,2026-07-15,Trade 3C - Momentum-Breakout,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-16,2026-07-16,Trade 1 - Daily Directional,LONG,2026-07-17,IN BAND at 08:45 (+0.54R vs entry) - taken at market,FILLED,2026-07-17 08:45:00,7543.59,7466.6,7402.26,64.34,0.455,3,-0.725,TP3 not beyond TP2 (inverted ladder)
SPX-2026-07-16,2026-07-16,Trade 2 - Pivot (buy limit daily P),LONG,2026-07-17,RECOVERY to -0.5R,NO FILL,,7538.09,,7518.73,,,1,0.0,
SPX-2026-07-16,2026-07-16,Trade 3C - Transition Breakout,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-07-17,2026-07-17,Trade 1 - Daily Directional,SHORT,2026-07-20,WAIT for entry,NO FILL,,7542.76,,7586.27,,,1,0.0,
SPX-2026-07-17,2026-07-17,Trade 2 - Pivot (buy limit daily S1),LONG,2026-07-20,RECOVERY: 08:45 was +0.90R beyond entry; took the -0.5R level 7477.59,FILLED,2026-07-20 10:30:00,7501.61,7477.59,7453.57,24.02,0.5,3,-1.0,
SPX-2026-07-17,2026-07-17,Trade 3 - Pivot fade (sell limit daily R1),SHORT,2026-07-20,WAIT for entry,NO FILL,,7568.33,,7599.43,,,1,0.0,
SPX-2026-07-20,2026-07-20,Trade 1 - Daily Directional,SHORT,2026-07-21,IN BAND at 08:45 (+0.43R vs entry) - taken at market,FILLED,2026-07-21 08:45:00,7457.69,7483.0,7516.52,33.52,0.57,3,-0.873,
SPX-2026-07-20,2026-07-20,Trade 2 - Pivot (TRANSITION down-break side),SHORT,2026-07-21,RECOVERY: 08:45 was +0.84R beyond entry; took the -0.5R level 7473.15,FILLED,2026-07-21 15:15:00,7458.87,7473.15,7487.44,14.28,0.5,3,-1.0,
SPX-2026-07-20,2026-07-20,Trade 3C - Momentum-Breakout (conditional),SHORT,,conditional,NO TRIGGER,,7276.13,,7470.83,,,1,0.0,
