report_id,report_date,strategy,fill_status,window_session,fill_time,fill_price,units,blended_R
SPX-2026-06-11,2026-06-11,Trade 3A - Momentum-Pullback (57.5% rally-sell),NO FILL,2026-06-12,,,1,0.0
SPX-2026-06-15,2026-06-15,Trade 1 - Daily Directional,FILLED,2026-06-16,2026-06-16 06:45:00,7561.6,3,-0.456
SPX-2026-06-15,2026-06-15,Trade 2 - Pivot (buy stop daily R1),FILLED,2026-06-16,2026-06-16 06:45:00,7561.6,3,-0.751
SPX-2026-06-15,2026-06-15,Trade 3C - Breakout (buy stop 5-day swing high),FILLED,2026-06-16,2026-06-16 06:45:00,7561.6,3,-0.695
SPX-2026-06-16,2026-06-16,Trade 1 - Daily Directional,FILLED,2026-06-17,2026-06-17 06:45:00,7540.2,3,-0.134
SPX-2026-06-16,2026-06-16,Trade 2 - Pivot (buy limit daily S1),NO FILL,2026-06-17,,,1,0.0
SPX-2026-06-16,2026-06-16,Trade 3A - Momentum-Pullback (pivot confluence),NO FILL,2026-06-17,,,1,0.0
SPX-2026-06-17,2026-06-17,Trade 1 - Daily Directional,FILLED,2026-06-18,2026-06-18 06:45:00,7488.0,3,-1.0
SPX-2026-06-17,2026-06-17,Trade 2 - Pivot (buy limit daily S1),FILLED,2026-06-18,2026-06-18 06:45:00,7488.0,3,-1.0
SPX-2026-06-17,2026-06-17,Trade 3A - Momentum-Pullback (breakout stop),NO FILL,2026-06-18,,,1,0.0
SPX-2026-06-18,2026-06-18,Trade 1 - Daily Directional,FILLED,2026-06-19,2026-06-19 06:45:00,7476.4,3,-1.0
SPX-2026-06-18,2026-06-18,Trade 2 - Pivot (sell limit monthly S1 / daily P),FILLED,2026-06-19,2026-06-19 06:45:00,7476.4,3,-1.0
SPX-2026-06-18,2026-06-18,Trade 3C - Momentum-Breakout (sell stop),NO FILL,2026-06-19,,,1,0.0
SPX-2026-06-19,2026-06-19,Trade 1 - Daily Directional,FILLED,2026-06-22,2026-06-22 06:45:00,7480.0,3,0.951
SPX-2026-06-19,2026-06-19,Trade 2 - Pivot (buy limit daily S1),FILLED,2026-06-22,2026-06-22 06:45:00,7475.58,3,1.067
SPX-2026-06-19,2026-06-19,Trade 3A - Momentum-Pullback (breakout stop),NO FILL,2026-06-22,,,1,0.0
SPX-2026-06-24,2026-06-24,Trade 1 - Daily Directional,FILLED,2026-06-25,2026-06-25 06:45:00,7407.3,3,-0.507
SPX-2026-06-24,2026-06-24,Trade 2 - Pivot (sell limit daily P shelf),FILLED,2026-06-25,2026-06-25 06:45:00,7407.3,3,-0.31
SPX-2026-06-24,2026-06-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),NO FILL,2026-06-25,,,1,0.0
SPX-2026-06-25,2026-06-25,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-06-25,2026-06-25,"Trade 2 - Pivot (range fade, sell limit daily R1)",NO FILL,2026-06-26,,,1,0.0
SPX-2026-06-25,2026-06-25,"Trade 3A - Momentum-Pullback (sell stop, break of 23 Jun low)",FILLED,2026-06-26,2026-06-26 06:45:00,7312.6,3,-0.346
SPX-2026-06-26,2026-06-26,Trade 1 - Daily Directional (sell stop),NO FILL,2026-06-29,,,1,0.0
SPX-2026-06-26,2026-06-26,Trade 2 - Pivot (sell limit daily P),FILLED,2026-06-29,2026-06-29 06:45:00,7382.5,3,-1.0
SPX-2026-06-26,2026-06-26,Trade 3A - Momentum-Pullback (sell limit daily R1 / 38.2%),NO FILL,2026-06-29,,,1,0.0
SPX-2026-06-29,2026-06-29,Trade 1 - Daily Directional,FILLED,2026-06-30,2026-06-30 06:45:00,7449.7,3,-0.782
SPX-2026-06-29,2026-06-29,Trade 2 - Pivot (sell stop below daily S1),NO FILL,2026-06-30,,,1,0.0
SPX-2026-06-29,2026-06-29,"Trade 3C - Momentum-Breakout (sell stop, conditional)",NO FILL,2026-06-30,,,1,0.0
SPX-2026-06-30,2026-06-30,Trade 1 - Daily Directional,FILLED,2026-07-01,2026-07-01 06:45:00,7475.8,3,-1.0
SPX-2026-06-30,2026-06-30,Trade 2 - Pivot (sell stop below P),NO FILL,2026-07-01,,,1,0.0
SPX-2026-06-30,2026-06-30,Trade 3A - Momentum-Pullback (57.5% rally-sell),FILLED,2026-07-01,2026-07-01 06:45:00,7475.8,3,-1.0
SPX-2026-07-01,2026-07-01,Trade 1 - Daily Directional (buy limit daily P),NO FILL,2026-07-02,,,1,0.0
SPX-2026-07-01,2026-07-01,Trade 2 - Pivot (buy limit daily P),NO FILL,2026-07-02,,,1,0.0
SPX-2026-07-01,2026-07-01,Trade 3A - Momentum-Pullback (breakout stop),FILLED,2026-07-02,2026-07-02 06:45:00,7500.2,3,0.072
SPX-2026-07-02,2026-07-02,Trade 1 - Daily Directional,FILLED,2026-07-03,2026-07-03 06:45:00,7496.5,3,0.055
SPX-2026-07-02,2026-07-02,Trade 2 - Pivot (regime-aware),SUPPRESSED,,,,1,0.0
SPX-2026-07-02,2026-07-02,Trade 3A - Momentum-Pullback (57.5% fib),NO FILL,2026-07-03,,,1,0.0
SPX-2026-07-03,2026-07-03,Trade 1 - Daily Directional,FILLED,2026-07-06,2026-07-06 06:45:00,7491.6,3,0.191
SPX-2026-07-03,2026-07-03,Trade 2 - Pivot (TRANSITION breakout side),SUPPRESSED,,,,1,0.0
SPX-2026-07-03,2026-07-03,Trade 3C - Momentum-Breakout (conditional),FILLED,2026-08-05,2026-08-05 06:45:00,7764.7,3,-0.036
SPX-2026-07-09,2026-07-09,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-07-09,2026-07-09,Trade 2 - Pivot (sell limit daily P),FILLED,2026-07-10,2026-07-10 06:45:00,7535.4,3,-1.0
SPX-2026-07-09,2026-07-09,Trade 3A - Momentum-Pullback (sell stop),NO FILL,2026-07-10,,,1,0.0
SPX-2026-07-10,2026-07-10,Trade 1 - Daily Directional,FILLED,2026-07-13,2026-07-13 06:45:00,7539.7,3,-0.814
SPX-2026-07-10,2026-07-10,Trade 2 - Pivot (regime-aware),SUPPRESSED,,,,1,0.0
SPX-2026-07-10,2026-07-10,Trade 3C - Momentum-Breakout,SUPPRESSED,,,,1,0.0
SPX-2026-07-13,2026-07-13,Trade 1 - Daily Directional,FILLED,2026-07-14,2026-07-14 06:45:00,7492.3,3,0.863
SPX-2026-07-13,2026-07-13,Trade 2 - Pivot (TRANSITION breakout side),NO FILL,2026-07-14,,,1,0.0
SPX-2026-07-13,2026-07-13,Trade 3C - Momentum-Breakout,SUPPRESSED,,,,1,0.0
SPX-2026-07-14,2026-07-14,Trade 1 - Daily Directional,FILLED,2026-07-15,2026-07-15 06:45:00,7561.5,3,-1.0
SPX-2026-07-14,2026-07-14,Trade 2 - Pivot (buy limit daily P),NO FILL,2026-07-15,,,1,0.0
SPX-2026-07-14,2026-07-14,Trade 3A - Momentum-Pullback (breakout stop),NO FILL,2026-07-15,,,1,0.0
SPX-2026-07-15,2026-07-15,Trade 1 - Daily Directional,FILLED,2026-07-16,2026-07-16 06:45:00,7580.5,3,-0.853
SPX-2026-07-15,2026-07-15,Trade 2 - Pivot (TRANSITION breakout side),FILLED,2026-07-16,2026-07-16 06:45:00,7580.5,3,-0.077
SPX-2026-07-15,2026-07-15,Trade 3C - Momentum-Breakout,SUPPRESSED,,,,1,0.0
SPX-2026-07-16,2026-07-16,Trade 1 - Daily Directional,FILLED,2026-07-17,2026-07-17 06:45:00,7488.7,3,-0.795
SPX-2026-07-16,2026-07-16,Trade 2 - Pivot (buy limit daily P),MALFORMED,2026-07-17,2026-07-17 06:45:00,7488.7,3,-1.0
SPX-2026-07-16,2026-07-16,Trade 3C - Transition Breakout,SUPPRESSED,,,,1,0.0
SPX-2026-07-17,2026-07-17,Trade 1 - Daily Directional,FILLED,2026-07-20,2026-07-20 06:45:00,7468.5,3,0.016
SPX-2026-07-17,2026-07-17,Trade 2 - Pivot (buy limit daily S1),FILLED,2026-07-20,2026-07-20 06:45:00,7468.5,3,-1.0
SPX-2026-07-17,2026-07-17,Trade 3 - Pivot fade (sell limit daily R1),NO FILL,2026-07-20,,,1,0.0
SPX-2026-07-20,2026-07-20,Trade 1 - Daily Directional,FILLED,2026-07-21,2026-07-21 06:45:00,7471.2,3,-0.906
SPX-2026-07-20,2026-07-20,Trade 2 - Pivot (TRANSITION down-break side),NO FILL,2026-07-21,,,1,0.0
SPX-2026-07-20,2026-07-20,Trade 3C - Momentum-Breakout (conditional),NO TRIGGER,,,,1,0.0
SPX-2026-07-21,2026-07-21,Trade 1 - Daily Directional,FILLED,2026-07-22,2026-07-22 06:45:00,7501.8,3,-1.0
SPX-2026-07-21,2026-07-21,Trade 2 - Pivot (regime-aware),SUPPRESSED,,,,1,0.0
SPX-2026-07-21,2026-07-21,Trade 3C - Momentum-Breakout (conditional short),FILLED,2026-07-24,2026-07-24 06:45:00,7402.6,3,-1.0
SPX-2026-07-22,2026-07-22,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-07-22,2026-07-22,Trade 2 - Pivot (regime-aware),SUPPRESSED,,,,1,0.0
SPX-2026-07-22,2026-07-22,"Trade 3B - Mean-Reversion (range fade, short leg)",NO FILL,2026-07-23,,,1,0.0
SPX-2026-07-23,2026-07-23,Trade 1 - Daily Directional,FILLED,2026-07-24,2026-07-24 06:45:00,7402.6,3,-0.288
SPX-2026-07-23,2026-07-23,Trade 2 - Pivot (buy limit daily S1),MALFORMED,2026-07-24,2026-07-24 06:45:00,7402.6,3,-1.0
SPX-2026-07-23,2026-07-23,Trade 3 - Pivot fade (sell limit daily R2),NO FILL,2026-07-24,,,1,0.0
SPX-2026-07-24,2026-07-24,Trade 1 - Daily Directional,MALFORMED,2026-07-27,2026-07-27 06:45:00,7466.8,3,-1.0
SPX-2026-07-24,2026-07-24,Trade 2 - Pivot (sell limit daily P),FILLED,2026-07-27,2026-07-27 06:45:00,7466.8,3,-1.0
SPX-2026-07-24,2026-07-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),NO FILL,2026-07-27,,,1,0.0
SPX-2026-07-27,2026-07-27,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-07-27,2026-07-27,Trade 2 - Pivot (TRANSITION breakout side),NO FILL,2026-07-28,,,1,0.0
SPX-2026-07-27,2026-07-27,Trade 3C - Momentum-Breakout (conditional upside),FILLED,2026-08-04,2026-08-04 06:45:00,7615.3,3,0.66
SPX-2026-07-28,2026-07-28,Trade 1 - Daily Directional,NO FILL,2026-07-29,,,1,0.0
SPX-2026-07-28,2026-07-28,Trade 2 - Pivot (buy limit daily S1),NO FILL,2026-07-29,,,1,0.0
SPX-2026-07-28,2026-07-28,Trade 3 - Mean-Reversion (buy stop on P reclaim),FILLED,2026-07-29,2026-07-29 06:45:00,7423.0,3,0.408
SPX-2026-07-29,2026-07-29,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-07-29,2026-07-29,Trade 2 - Pivot (TRANSITION breakout side),NO FILL,2026-07-30,,,1,0.0
SPX-2026-07-29,2026-07-29,Trade 3C - Momentum-Breakout (conditional upside),FILLED,2026-08-04,2026-08-04 06:45:00,7615.3,3,0.66
SPX-2026-07-30,2026-07-30,Trade 1 - Daily Directional,MALFORMED,2026-07-31,2026-07-31 06:45:00,7466.9,3,-1.0
SPX-2026-07-30,2026-07-30,Trade 2 - Pivot (regime-aware),SUPPRESSED,,,,1,0.0
SPX-2026-07-30,2026-07-30,Trade 3C - Momentum-Breakout (conditional short),NO TRIGGER,,,,1,0.0
SPX-2026-07-31,2026-07-31,Trade 1 - Daily Directional (breakout stop),FILLED,2026-08-03,2026-08-03 06:45:00,7534.2,3,0.183
SPX-2026-07-31,2026-07-31,Trade 2 - Pivot (buy limit daily P),NO FILL,2026-08-03,,,1,0.0
SPX-2026-07-31,2026-07-31,Trade 3A - Momentum-Pullback (38.2% fib),NO FILL,2026-08-03,,,1,0.0
