report_id,report_date,strategy,direction,entry_rule,entry_session,fill_status,fill_time,fill_price,card_entry,stop,R_points,risk_vs_card,units,blended_R,notes
SPX-2026-05-15,2026-05-15,Trade 1 - Daily Directional,LONG,A: market-if-better,2026-05-18,SKIPPED,2026-05-18 06:45:00,7371.6,7501.59,7453.59,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-15,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,A: market-if-better,2026-05-18,SKIPPED,2026-05-18 06:45:00,7371.6,7485.68,7461.74,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-15,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),LONG,A: market-if-better,2026-05-18,SKIPPED,2026-05-18 06:45:00,7371.6,7510.0,7425.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-18,2026-05-18,Trade 1 - Daily Directional,SHORT,B: wait for entry -0.5R,2026-05-19,NO FILL,,,7457.31,7466.1,,,1,0.0,
SPX-2026-05-18,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),SHORT,B: wait for entry -0.5R,2026-05-19,NO FILL,,,7443.07,7482.13,,,1,0.0,
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",SHORT,A: market at 06:45 (better than card entry),2026-05-19,FILLED,2026-05-19 06:45:00,7402.5,7386.25,7459.35,56.85,0.778,3,-1.0,
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),LONG,A: market at 06:45 (better than card entry),2026-05-20,FILLED,2026-05-20 06:45:00,7351.4,7403.05,7335.0,16.4,0.241,3,9.0,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),LONG,A: market at 06:45 (better than card entry),2026-05-20,FILLED,2026-05-20 06:45:00,7351.4,7371.85,7348.0,3.4,0.143,3,-1.0,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),LONG,A: market-if-better,2026-05-20,SKIPPED,2026-05-20 06:45:00,7351.4,7435.5,7360.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-20,2026-05-20,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),LONG,A: market at 06:45 (better than card entry),2026-05-21,FILLED,2026-05-21 06:45:00,7433.0,7442.17,7372.92,60.08,0.868,3,0.946,
SPX-2026-05-20,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),LONG,B: wait for entry -0.5R,2026-05-21,NO FILL,,,7360.0,7325.0,,,1,0.0,
SPX-2026-05-21,2026-05-21,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-05-22,NO FILL,,,7432.97,7326.24,,,1,0.0,
SPX-2026-05-21,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),LONG,B: wait for entry -0.5R,2026-05-22,NO FILL,,,7442.42,7375.01,,,1,0.0,
SPX-2026-05-21,2026-05-21,Trade 3C - Range Breakout (conditional),LONG,B: wait for entry -0.5R,2026-05-26,NO FILL,,,7515.81,7225.11,,,1,0.0,
SPX-2026-05-22,2026-05-22,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-05-22,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),LONG,B: wait for entry -0.5R,2026-05-25,NO FILL,,,7415.0,7355.0,,,1,0.0,
SPX-2026-05-22,2026-05-22,Trade 3C - Momentum-Breakout (conditional),LONG,A: market at 06:45 (better than card entry),2026-05-26,FILLED,2026-05-26 06:45:00,7527.7,7539.0,7193.0,334.7,0.967,3,0.668,
SPX-2026-05-25,2026-05-25,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-05-26,NO FILL,,,7473.47,7403.3,,,1,0.0,
SPX-2026-05-25,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,B: wait for entry -0.5R,2026-05-26,NO FILL,,,7447.53,7426.43,,,1,0.0,
SPX-2026-05-25,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),LONG,B: wait for entry -0.5R,2026-05-26,NO FILL,,,7400.82,7320.9,,,1,0.0,
SPX-2026-05-26,2026-05-26,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-05-27,NO FILL,,,7473.47,7397.96,,,1,0.0,
SPX-2026-05-26,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",LONG,B: wait for entry -0.5R,2026-05-27,NO FILL,,,7448.3,7426.33,,,1,0.0,
SPX-2026-05-26,2026-05-26,Trade 3C - Range Breakout (conditional),LONG,A: market at 06:45 (better than card entry),2026-05-29,FILLED,2026-05-29 06:45:00,7570.8,7574.6,7160.29,410.51,0.991,3,0.44,
SPX-2026-05-27,2026-05-27,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-05-28,FILLED,2026-05-28 06:45:00,7502.8,7519.12,7330.35,172.45,0.914,3,-0.521,
SPX-2026-05-27,2026-05-27,Trade 2 - Pivot (TREND_UP),LONG,B: wait for entry -0.5R,2026-05-28,NO FILL,,,7451.26,7389.82,,,1,0.0,
SPX-2026-05-27,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),LONG,B: wait for entry -0.5R,2026-05-28,NO FILL,,,7421.5,7330.35,,,1,0.0,
SPX-2026-05-28,2026-05-28,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-05-29,NO FILL,,,7519.0,7471.2,,,1,0.0,
SPX-2026-05-28,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),LONG,B: wait for entry -0.5R,2026-05-29,NO FILL,,,7510.0,7479.0,,,1,0.0,
SPX-2026-05-28,2026-05-28,Trade 3A - Momentum-Pullback,LONG,B: wait for entry -0.5R,2026-05-29,NO FILL,,,7495.0,7471.0,,,1,0.0,
SPX-2026-05-29,2026-05-29,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-06-01,NO FILL,,,7535.0,7495.0,,,1,0.0,
SPX-2026-05-29,2026-05-29,Trade 2 - Pivot (buy limit daily P),LONG,B: wait for entry -0.5R,2026-06-01,NO FILL,,,7551.0,7517.0,,,1,0.0,
SPX-2026-05-29,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),LONG,B: wait for entry -0.5R,2026-06-01,NO FILL,,,7572.0,7528.0,,,1,0.0,
SPX-2026-06-01,2026-06-01,Trade 1 - Daily Directional (breakout stop),LONG,A: market at 06:45 (better than card entry),2026-06-02,FILLED,2026-06-02 06:45:00,7572.8,7599.5,7562.6,10.2,0.276,3,0.918,
SPX-2026-06-01,2026-06-01,Trade 2 - Pivot (buy limit daily P),LONG,A: market at 06:45 (better than card entry),2026-06-02,FILLED,2026-06-02 06:45:00,7572.8,7581.0,7545.2,27.6,0.771,3,0.786,
SPX-2026-06-01,2026-06-01,Trade 3A - Momentum-Pullback (38.2% fib),LONG,B: wait for entry -0.5R,2026-06-02,NO FILL,,,7538.0,7520.0,,,1,0.0,
SPX-2026-06-02,2026-06-02,Trade 1 - Daily Directional,LONG,B: limit at entry -0.5R = 7575.74 (did not chase),2026-06-03,FILLED,2026-06-03 16:45:00,7575.74,7599.96,7551.51,24.23,0.5,3,-1.0,
SPX-2026-06-02,2026-06-02,Trade 2 - Pivot (buy limit daily P),LONG,B: limit at entry -0.5R = 7565.78 (did not chase),2026-06-03,FILLED,2026-06-03 19:15:00,7565.78,7580.81,7550.76,15.02,0.5,3,-1.0,
SPX-2026-06-02,2026-06-02,Trade 3A - Momentum-Pullback (38.2% fib),LONG,B: limit at entry -0.5R = 7538.89 (did not chase),2026-06-03,FILLED,2026-06-03 23:30:00,7538.89,7552.5,7525.28,13.61,0.5,3,-1.0,
SPX-2026-06-03,2026-06-03,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-06-04,FILLED,2026-06-04 06:45:00,7532.7,7585.5,7499.14,33.56,0.389,3,-0.176,
SPX-2026-06-03,2026-06-03,Trade 2 - Pivot (buy limit daily P),LONG,A: market-if-better,2026-06-04,SKIPPED,2026-06-04 06:45:00,7532.7,7601.28,7557.81,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-03,2026-06-03,Trade 3A - Momentum-Pullback (38.2% fib),LONG,A: market at 06:45 (better than card entry),2026-06-04,FILLED,2026-06-04 06:45:00,7532.7,7573.68,7484.0,48.7,0.543,3,-1.0,
SPX-2026-06-04,2026-06-04,Trade 1 - Daily Directional,LONG,A: market-if-better,2026-06-05,SKIPPED,2026-06-05 06:45:00,7551.6,7609.78,7573.71,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-04,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),LONG,A: market-if-better,2026-06-05,SKIPPED,2026-06-05 06:45:00,7551.6,7606.72,7591.48,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-04,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),LONG,A: market at 06:45 (better than card entry),2026-06-05,FILLED,2026-06-05 06:45:00,7551.6,7554.26,7490.5,61.1,0.958,3,-1.0,
SPX-2026-06-05,2026-06-05,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-06-05,2026-06-05,Trade 2 - Pivot (buy limit daily P),LONG,A: market-if-better,2026-06-08,SKIPPED,2026-06-08 06:45:00,7411.0,7570.0,7512.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-05,2026-06-05,Trade 3A - Momentum-Pullback (breakout stop),LONG,A: market-if-better,2026-06-08,SKIPPED,2026-06-08 06:45:00,7411.0,7593.0,7548.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-08,2026-06-08,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-06-09,FILLED,2026-06-09 06:45:00,7427.3,7384.0,7475.0,47.7,0.524,3,-1.0,
SPX-2026-06-08,2026-06-08,Trade 3A - Momentum-Pullback (sell limit weekly S2),SHORT,B: wait for entry -0.5R,2026-06-09,NO FILL,,,7460.0,7565.0,,,1,0.0,
SPX-2026-06-09,2026-06-09,Trade 1 - Daily Directional,SHORT,B: wait for entry -0.5R,2026-06-10,NO FILL,,,7384.0,7484.0,,,1,0.0,
SPX-2026-06-09,2026-06-09,Trade 3A - Momentum-Pullback (sell limit daily P),SHORT,B: wait for entry -0.5R,2026-06-10,NO FILL,,,7449.58,7521.0,,,1,0.0,
SPX-2026-06-10,2026-06-10,Trade 1 - Daily Directional (sell stop),SHORT,B: limit at entry -0.5R = 7403.00 (did not chase),2026-06-11,FILLED,2026-06-11 22:30:00,7403.0,7330.0,7476.0,73.0,0.5,3,-0.628,
SPX-2026-06-10,2026-06-10,Trade 2 - Pivot (sell limit weekly P),SHORT,B: wait for entry -0.5R,2026-06-11,NO FILL,,,7460.0,7518.0,,,1,0.0,
SPX-2026-06-10,2026-06-10,Trade 3C - Momentum-Breakout (sell stop),SHORT,B: limit at entry -0.5R = 7359.00 (did not chase),2026-06-11,FILLED,2026-06-11 20:30:00,7359.0,7322.0,7396.0,37.0,0.5,3,-1.0,
SPX-2026-06-11,2026-06-11,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-06-12,FILLED,2026-06-12 06:45:00,7404.1,7267.45,7552.45,148.35,0.521,3,-0.734,
SPX-2026-06-11,2026-06-11,Trade 3A - Momentum-Pullback (57.5% rally-sell),SHORT,B: wait for entry -0.5R,2026-06-12,NO FILL,,,7463.0,7641.0,,,1,0.0,
SPX-2026-06-15,2026-06-15,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-06-16,NO FILL,,,7431.51,7338.91,,,1,0.0,
SPX-2026-06-15,2026-06-15,Trade 2 - Pivot (buy stop daily R1),LONG,B: wait for entry -0.5R,2026-06-16,NO FILL,,,7470.9,7416.86,,,1,0.0,
SPX-2026-06-15,2026-06-15,Trade 3C - Breakout (buy stop 5-day swing high),LONG,B: wait for entry -0.5R,2026-06-16,NO FILL,,,7483.15,7416.96,,,1,0.0,
SPX-2026-06-16,2026-06-16,Trade 1 - Daily Directional,LONG,B: limit at entry -0.5R = 7410.24 (did not chase),2026-06-17,FILLED,2026-06-17 22:30:00,7410.24,7431.24,7389.24,21.0,0.5,3,3.255,
SPX-2026-06-16,2026-06-16,Trade 2 - Pivot (buy limit daily S1),LONG,B: wait for entry -0.5R,2026-06-17,NO FILL,,,7398.71,7353.41,,,1,0.0,
SPX-2026-06-16,2026-06-16,Trade 3A - Momentum-Pullback (pivot confluence),LONG,B: wait for entry -0.5R,2026-06-17,NO FILL,,,7400.0,7330.0,,,1,0.0,
SPX-2026-06-17,2026-06-17,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-06-18,FILLED,2026-06-18 06:45:00,7488.0,7558.0,7475.0,13.0,0.157,3,-1.0,MICRO-R
SPX-2026-06-17,2026-06-17,Trade 2 - Pivot (buy limit daily S1),LONG,A: market at 06:45 (better than card entry),2026-06-18,FILLED,2026-06-18 06:45:00,7488.0,7527.0,7470.0,18.0,0.316,3,-1.0,
SPX-2026-06-17,2026-06-17,Trade 3A - Momentum-Pullback (breakout stop),LONG,A: market-if-better,2026-06-18,SKIPPED,2026-06-18 06:45:00,7488.0,7590.0,7527.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-18,2026-06-18,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-06-19,FILLED,2026-06-19 06:45:00,7476.4,7420.0,7501.0,24.6,0.304,3,-1.0,
SPX-2026-06-18,2026-06-18,Trade 2 - Pivot (sell limit monthly S1 / daily P),SHORT,A: market at 06:45 (better than card entry),2026-06-19,FILLED,2026-06-19 06:45:00,7476.4,7450.0,7506.0,29.6,0.529,3,-1.0,
SPX-2026-06-18,2026-06-18,Trade 3C - Momentum-Breakout (sell stop),SHORT,A: market-if-better,2026-06-19,SKIPPED,2026-06-19 06:45:00,7476.4,7369.0,7427.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-19,2026-06-19,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-06-22,FILLED,2026-06-22 06:45:00,7480.0,7500.58,7465.0,15.0,0.422,3,0.951,
SPX-2026-06-19,2026-06-19,Trade 2 - Pivot (buy limit daily S1),LONG,B: wait for entry -0.5R,2026-06-22,NO FILL,,,7475.58,7450.57,,,1,0.0,
SPX-2026-06-19,2026-06-19,Trade 3A - Momentum-Pullback (breakout stop),LONG,A: market at 06:45 (better than card entry),2026-06-22,FILLED,2026-06-22 06:45:00,7480.0,7512.0,7478.0,2.0,0.059,3,-1.0,MICRO-R
SPX-2026-06-24,2026-06-24,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-06-25,FILLED,2026-06-25 06:45:00,7407.3,7365.17,7470.17,62.87,0.599,3,-0.507,
SPX-2026-06-24,2026-06-24,Trade 2 - Pivot (sell limit daily P shelf),SHORT,A: market at 06:45 (better than card entry),2026-06-25,FILLED,2026-06-25 06:45:00,7407.3,7404.0,7489.0,81.7,0.961,3,-0.31,
SPX-2026-06-24,2026-06-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),SHORT,B: wait for entry -0.5R,2026-06-25,NO FILL,,,7453.0,7545.0,,,1,0.0,
SPX-2026-06-25,2026-06-25,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-06-25,2026-06-25,"Trade 2 - Pivot (range fade, sell limit daily R1)",SHORT,B: wait for entry -0.5R,2026-06-26,NO FILL,,,7403.21,7430.0,,,1,0.0,
SPX-2026-06-25,2026-06-25,"Trade 3A - Momentum-Pullback (sell stop, break of 23 Jun low)",SHORT,B: limit at entry -0.5R = 7365.50 (did not chase),2026-06-26,FILLED,2026-06-26 17:00:00,7365.5,7346.0,7385.0,19.5,0.5,3,-1.0,
SPX-2026-06-26,2026-06-26,Trade 1 - Daily Directional (sell stop),SHORT,A: market at 06:45 (better than card entry),2026-06-29,FILLED,2026-06-29 06:45:00,7382.5,7336.8,7412.0,29.5,0.392,3,-1.0,
SPX-2026-06-26,2026-06-26,Trade 2 - Pivot (sell limit daily P),SHORT,A: market at 06:45 (better than card entry),2026-06-29,FILLED,2026-06-29 06:45:00,7382.5,7374.37,7465.61,83.11,0.911,3,-1.0,
SPX-2026-06-26,2026-06-26,Trade 3A - Momentum-Pullback (sell limit daily R1 / 38.2%),SHORT,B: limit at entry -0.5R = 7438.76 (did not chase),2026-06-29,FILLED,2026-06-29 20:15:00,7438.76,7411.91,7465.61,26.85,0.5,3,-1.0,
SPX-2026-06-29,2026-06-29,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-06-30,FILLED,2026-06-30 06:45:00,7449.7,7354.0,7558.0,108.3,0.531,3,-0.782,
SPX-2026-06-29,2026-06-29,Trade 2 - Pivot (sell stop below daily S1),SHORT,A: market-if-better,2026-06-30,SKIPPED,2026-06-30 06:45:00,7449.7,7296.6,7389.4,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-29,2026-06-29,"Trade 3C - Momentum-Breakout (sell stop, conditional)",SHORT,A: market-if-better,2026-06-30,SKIPPED,2026-06-30 06:45:00,7449.7,7209.9,7349.7,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-30,2026-06-30,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-07-01,FILLED,2026-07-01 06:45:00,7475.8,7354.0,7500.0,24.2,0.166,3,-1.0,MICRO-R
SPX-2026-06-30,2026-06-30,Trade 2 - Pivot (sell stop below P),SHORT,A: market-if-better,2026-07-01,SKIPPED,2026-07-01 06:45:00,7475.8,7350.0,7369.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-06-30,2026-06-30,Trade 3A - Momentum-Pullback (57.5% rally-sell),SHORT,A: market at 06:45 (better than card entry),2026-07-01,FILLED,2026-07-01 06:45:00,7475.8,7420.0,7500.0,24.2,0.302,3,-1.0,
SPX-2026-07-01,2026-07-01,Trade 1 - Daily Directional (buy limit daily P),LONG,B: wait for entry -0.5R,2026-07-02,NO FILL,,,7413.0,7377.0,,,1,0.0,
SPX-2026-07-01,2026-07-01,Trade 2 - Pivot (buy limit daily P),LONG,B: wait for entry -0.5R,2026-07-02,NO FILL,,,7413.0,7382.0,,,1,0.0,
SPX-2026-07-01,2026-07-01,Trade 3A - Momentum-Pullback (breakout stop),LONG,B: wait for entry -0.5R,2026-07-02,NO FILL,,,7446.0,7401.0,,,1,0.0,
SPX-2026-07-02,2026-07-02,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-07-03,FILLED,2026-07-03 06:45:00,7496.5,7499.36,7412.56,83.94,0.967,3,0.055,
SPX-2026-07-02,2026-07-02,Trade 2 - Pivot (regime-aware),,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-02,2026-07-02,Trade 3A - Momentum-Pullback (57.5% fib),LONG,B: wait for entry -0.5R,2026-07-03,NO FILL,,,7425.33,7344.02,,,1,0.0,
SPX-2026-07-03,2026-07-03,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-07-06,NO FILL,,,7482.5,7428.0,,,1,0.0,
SPX-2026-07-03,2026-07-03,Trade 2 - Pivot (TRANSITION breakout side),,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-03,2026-07-03,Trade 3C - Momentum-Breakout (conditional),LONG,B: wait for entry -0.5R,2026-08-05,NO FILL,,,7620.9,7391.0,,,1,0.0,
SPX-2026-07-09,2026-07-09,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-09,2026-07-09,Trade 2 - Pivot (sell limit daily P),SHORT,A: market at 06:45 (better than card entry),2026-07-10,FILLED,2026-07-10 06:45:00,7535.4,7508.9,7545.0,9.6,0.266,3,-1.0,
SPX-2026-07-09,2026-07-09,Trade 3A - Momentum-Pullback (sell stop),SHORT,A: market-if-better,2026-07-10,SKIPPED,2026-07-10 06:45:00,7535.4,7438.0,7485.0,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-07-10,2026-07-10,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-07-13,FILLED,2026-07-13 06:45:00,7539.7,7543.64,7472.74,66.96,0.944,3,-0.814,
SPX-2026-07-10,2026-07-10,Trade 2 - Pivot (regime-aware),,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-10,2026-07-10,Trade 3C - Momentum-Breakout,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-13,2026-07-13,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-07-14,FILLED,2026-07-14 06:45:00,7492.3,7575.39,7480.25,12.05,0.127,3,0.863,MICRO-R
SPX-2026-07-13,2026-07-13,Trade 2 - Pivot (TRANSITION breakout side),LONG,A: market-if-better,2026-07-14,SKIPPED,2026-07-14 06:45:00,7492.3,7577.84,7505.84,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-07-13,2026-07-13,Trade 3C - Momentum-Breakout,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-14,2026-07-14,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-07-15,FILLED,2026-07-15 06:45:00,7561.5,7575.39,7529.06,32.44,0.7,3,-1.0,
SPX-2026-07-14,2026-07-14,Trade 2 - Pivot (buy limit daily P),LONG,B: wait for entry -0.5R,2026-07-15,NO FILL,,,7554.49,7482.72,,,1,0.0,
SPX-2026-07-14,2026-07-14,Trade 3A - Momentum-Pullback (breakout stop),LONG,A: market at 06:45 (better than card entry),2026-07-15,FILLED,2026-07-15 06:45:00,7561.5,7581.0,7508.16,53.34,0.732,3,-1.0,
SPX-2026-07-15,2026-07-15,Trade 1 - Daily Directional,LONG,B: limit at entry -0.5R = 7513.50 (did not chase),2026-07-16,FILLED,2026-07-16 22:30:00,7513.5,7543.6,7483.4,30.1,0.5,3,-0.526,
SPX-2026-07-15,2026-07-15,Trade 2 - Pivot (TRANSITION breakout side),LONG,B: limit at entry -0.5R = 7514.20 (did not chase),2026-07-16,FILLED,2026-07-16 22:30:00,7514.2,7530.6,7497.8,16.4,0.5,3,-1.0,
SPX-2026-07-15,2026-07-15,Trade 3C - Momentum-Breakout,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-16,2026-07-16,Trade 1 - Daily Directional,LONG,A: market at 06:45 (better than card entry),2026-07-17,FILLED,2026-07-17 06:45:00,7488.7,7543.59,7402.26,86.44,0.612,3,-0.795,
SPX-2026-07-16,2026-07-16,Trade 2 - Pivot (buy limit daily P),LONG,A: market-if-better,2026-07-17,SKIPPED,2026-07-17 06:45:00,7488.7,7538.09,7518.73,,,1,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-07-16,2026-07-16,Trade 3C - Transition Breakout,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-17,2026-07-17,Trade 1 - Daily Directional,SHORT,B: wait for entry -0.5R,2026-07-20,NO FILL,,,7542.76,7586.27,,,1,0.0,
SPX-2026-07-17,2026-07-17,Trade 2 - Pivot (buy limit daily S1),LONG,A: market at 06:45 (better than card entry),2026-07-20,FILLED,2026-07-20 06:45:00,7468.5,7501.61,7453.57,14.93,0.311,3,-1.0,
SPX-2026-07-17,2026-07-17,Trade 3 - Pivot fade (sell limit daily R1),SHORT,B: wait for entry -0.5R,2026-07-20,NO FILL,,,7568.33,7599.43,,,1,0.0,
SPX-2026-07-20,2026-07-20,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-07-21,FILLED,2026-07-21 06:45:00,7471.2,7457.69,7516.52,45.32,0.77,3,-0.906,
SPX-2026-07-20,2026-07-20,Trade 2 - Pivot (TRANSITION down-break side),SHORT,A: market at 06:45 (better than card entry),2026-07-21,FILLED,2026-07-21 06:45:00,7471.2,7458.87,7487.44,16.24,0.568,3,-1.0,
SPX-2026-07-20,2026-07-20,Trade 3C - Momentum-Breakout (conditional),SHORT,conditional,,NO TRIGGER,,,7276.13,7470.83,,,1,0.0,
SPX-2026-07-21,2026-07-21,Trade 1 - Daily Directional,SHORT,A: market at 06:45 (better than card entry),2026-07-22,FILLED,2026-07-22 06:45:00,7501.8,7443.0,7502.0,0.2,0.003,3,-1.0,MICRO-R
SPX-2026-07-21,2026-07-21,Trade 2 - Pivot (regime-aware),,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-21,2026-07-21,Trade 3C - Momentum-Breakout (conditional short),SHORT,B: wait for entry -0.5R,2026-07-24,NO FILL,,,7443.0,7530.0,,,1,0.0,
SPX-2026-07-22,2026-07-22,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-22,2026-07-22,Trade 2 - Pivot (regime-aware),,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-07-22,2026-07-22,"Trade 3B - Mean-Reversion (range fade, short leg)",SHORT,B: wait for entry -0.5R,2026-07-23,NO FILL,,,7524.1,7556.5,,,1,0.0,
SPX-2026-07-23,2026-07-23,Trade 1 - Daily Directional,SHORT,B: wait for entry -0.5R,2026-07-24,NO FILL,,,7498.96,7521.14,,,1,0.0,
