report_id,report_date,strategy,units,status,blended_R_card,blended_R_realised
SPX-2026-07-21,2026-07-21,Trade 2 - Pivot (regime-aware),1,SUPPRESSED,0.0,0.0
SPX-2026-07-21,2026-07-21,Trade 3C - Momentum-Breakout (conditional short),3,CLOSED,-1.0,-1.0
SPX-2026-07-22,2026-07-22,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-07-22,2026-07-22,Trade 2 - Pivot (regime-aware),1,SUPPRESSED,0.0,0.0
SPX-2026-07-22,2026-07-22,"Trade 3B - Mean-Reversion (range fade, short leg)",3,CLOSED,5.136,5.136
SPX-2026-07-23,2026-07-23,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,2.217,-0.064
SPX-2026-07-23,2026-07-23,Trade 2 - Pivot (buy limit daily S1),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-07-23,2026-07-23,Trade 3 - Pivot fade (sell limit daily R2),1,NO_FILL,0.0,0.0
SPX-2026-07-24,2026-07-24,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-07-24,2026-07-24,Trade 2 - Pivot (sell limit daily P),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-07-24,2026-07-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),3,CLOSED,1.158,1.158
SPX-2026-07-27,2026-07-27,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-07-27,2026-07-27,Trade 2 - Pivot (TRANSITION breakout side),3,CLOSED - CARD DEFECT,1.303,-0.029
SPX-2026-07-27,2026-07-27,Trade 3C - Momentum-Breakout (conditional upside),3,OPEN_MTM,0.811,0.763
SPX-2026-07-28,2026-07-28,Trade 1 - Daily Directional,3,CLOSED,1.067,1.067
SPX-2026-07-28,2026-07-28,Trade 2 - Pivot (buy limit daily S1),3,CLOSED,1.027,1.027
SPX-2026-07-28,2026-07-28,Trade 3 - Mean-Reversion (buy stop on P reclaim),3,CLOSED,0.479,0.479
SPX-2026-07-29,2026-07-29,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-07-29,2026-07-29,Trade 2 - Pivot (TRANSITION breakout side),3,CLOSED,-1.0,-1.0
SPX-2026-07-29,2026-07-29,Trade 3C - Momentum-Breakout (conditional upside),3,OPEN_MTM,0.811,0.763
SPX-2026-07-30,2026-07-30,Trade 1 - Daily Directional,3,CLOSED,-1.0,-1.0
SPX-2026-07-30,2026-07-30,Trade 2 - Pivot (regime-aware),1,SUPPRESSED,0.0,0.0
SPX-2026-07-30,2026-07-30,Trade 3C - Momentum-Breakout (conditional short),1,NO_FILL,0.0,0.0
SPX-2026-07-31,2026-07-31,Trade 1 - Daily Directional (breakout stop),3,CLOSED,0.777,0.777
SPX-2026-07-31,2026-07-31,Trade 2 - Pivot (buy limit daily P),3,CLOSED,1.723,1.723
SPX-2026-07-31,2026-07-31,Trade 3A - Momentum-Pullback (38.2% fib),3,CLOSED,2.013,2.013
