report_date,c1,c2,c3,c4,c5,total,band,override,card_integrity,n_cards,n_duds,n_warns,total_recomputed,total_uncapped,cap_convention
2026-06-26,4,4,1,3,4,65,Moderate,none,100.0,3.0,0.0,0.0,65,65,n/a
2026-06-29,4,5,2,4,4,77,High,none,100.0,3.0,0.0,0.0,77,77,n/a
2026-06-30,4,4,2,5,3,74,Moderate,none,90.0,3.0,0.0,3.0,74,74,n/a
2026-07-01,4,5,3,4,5,85,High,none,95.0,3.0,0.0,1.0,85,85,n/a
2026-07-02,4,4,2,3,3,67,Moderate,none,95.0,3.0,0.0,1.0,67,67,n/a
2026-07-03,4,3,0,3,3,53,Low,hallucinated_source,100.0,3.0,0.0,0.0,53,53,n/a
2026-07-06,4,4,3,4,4,80,High,none,100.0,3.0,0.0,0.0,80,80,n/a
2026-07-07,3,3,2,4,3,63,Moderate,none,60.0,3.0,3.0,0.0,63,63,n/a
2026-07-09,3,4,3,4,4,76,High,none,96.67,3.0,0.0,1.0,76,76,n/a
2026-07-10,4,5,1,3,4,68,Moderate,none,95.0,3.0,0.0,1.0,68,68,n/a
2026-07-13,4,4,2,4,5,76,High,none,90.0,3.0,0.0,2.0,76,76,n/a
2026-07-14,4,4,1,3,3,62,Moderate,none,100.0,3.0,1.0,0.0,62,62,n/a
2026-07-15,3,3,1,4,3,58,Low,restriction_breach,97.0,3.0,0.0,1.0,58,58,n/a
2026-07-16,3,2,3,3,3,60,Moderate,restriction_breach,100.0,3.0,0.0,0.0,60,60,n/a
2026-07-17,3,5,3,4,4,79,Moderate,restriction_breach,100.0,3.0,0.0,0.0,74,79,capped_band_only
2026-07-20,2,4,2,4,3,62,Moderate,restriction_breach,90.0,3.0,1.0,1.0,62,62,n/a
2026-07-21,4,5,3,4,4,83,High,none,96.67,3.0,0.0,1.0,83,83,n/a
2026-07-22,5,4,3,4,4,83,High,none,95.0,3.0,0.0,1.0,83,83,n/a
2026-07-23,4,5,2,3,3,70,Moderate,none,96.67,3.0,0.0,1.0,70,70,n/a
2026-07-24,5,4,3,4,4,83,High,none,100.0,3.0,0.0,0.0,83,83,n/a
2026-07-27,3,4,3,3,3,69,Moderate,restriction_breach,100.0,3.0,0.0,0.0,69,69,n/a
2026-07-28,4,4,2,4,4,74,Moderate,none,100.0,3.0,0.0,2.0,74,74,n/a
2026-07-29,5,4,2,4,5,79,High,none,96.7,3.0,0.0,1.0,79,79,n/a
2026-07-30,4,3,0,3,4,56,Low,hallucinated_source,83.33,3.0,1.0,1.0,56,56,n/a
2026-07-31,5,4,3,4,4,83,High,none,93.33,3.0,0.0,2.0,83,83,n/a
